Timestamp,What school are you associated with?,What grade are you in?,What is your gender?,What is your race or ethnicity? Check all that apply.,Are you part of any other minority group?,What is your political affiliation?,Do your parents generally share this affiliation?,Do you favor or oppose laws allowing transgender people to choose a bathroom based on their gender identity?,Do you favor greater or looser restrictions on the process of purchasing a gun?,Do you favor or oppose decreasing military spending in the national budget in favor of other government programs?,Do you favor or oppose testing welfare recipients for drug use before distributing benefits?,Do you favor or oppose requiring the use of body cameras on police officers?,Do you favor or oppose increased environmental regulations on businesses and corporations?,Are you Pro-Life or Pro-Choice on the issue of abortion legislation?,"Should the government increase or decrease funding for social welfare programs (food stamps, medicare, social security, etc.)?",Do you favor or oppose increasing restrictions on immigration into the US?,Should the federal government set a national minimum wage or should state governments set the minimum wage based on their own needs?,Do you support the movement Black Lives Matter? ,Do you favor or oppose deploying more American ground troops to fight ISIS in the Middle East?,"Given that our European allies don't pay NATO proportionally, should we fulfill our promise to support them in military conflicts?","Do you favor or oppose hydraulic fracturing or ""fracking"" as a means of increasing the production of natural gas and oil in the U.S.?",Do you favor or oppose the government prohibiting recreational marijuana?,Do you agree or disagree that men and women should have equal financial compensation in the workplace and equal obligation of citizenship such as signing up for the military draft?,Which presidential candidate do you support?,Which senatorial candidate do you support?,Comments?
2016/10/21 7:57:10 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,No Party Affiliation,No,1,3,1,1,1,2,1,2,1,3,1,2,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/21 8:44:19 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,2,2,2,1,2,1,2,3,2,3,2,1,3,2,Hillary Clinton,Ted Strickland,
2016/10/22 12:02:55 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,2,3,1,2,1,3,3,4,2,3,2,2,2,2,Hillary Clinton,No opinion,the question about equal financial compensation in the workplace and citizenship obligations is difficult to answer when put together - many (like me) are likely to have strong opinions about each of those separate pieces that won't necessarily be in the same category (i.e. agree/disagree)
2016/10/22 1:16:47 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,1,1,3,2,2,1,1,1,2,1,2,2,1,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/22 3:57:17 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,5,3,3,5,3,3,1,5,5,4,5,2,3,2,5,3,Donald Trump,No opinion,
2016/10/23 11:49:21 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,1,1,1,1,1,1,2,4,1,3,3,1,1,1,Hillary Clinton,Ted Strickland,
2016/10/23 4:43:12 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Democratic Party,Yes,1,1,2,1,2,2,1,1,2,1,2,1,1,4,2,1,Hillary Clinton,Ted Strickland,
2016/10/23 6:32:17 PM EST,Worthington Christian,12,Male,Caucasian,No,Republican Party,Yes,3,4,3,5,5,5,4,3,3,4,3,2,5,5,3,2,No opinion,Rob Portman,
2016/10/23 7:29:00 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,LGBT+,Green Party,No,1,1,1,2,2,1,1,2,2,2,3,2,3,1,5,3,"Previous stein supporter, then Sanders, may reluctantly vote Clinton but would rather vote stein",No opinion,"Your generation has such an important role to play during this turning point for the world, please help us save the planet and humanity!!!!!"
2016/10/23 8:08:52 PM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,Yes,3,2,4,5,2,3,2,3,4,4,3,3,3,4,1,1,No opinion,Rob Portman,
2016/10/24 8:25:15 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,Yes,3,1,2,5,3,5,5,2,1,1,5,5,1,3,5,1,Donald Trump,Rob Portman,
2016/10/24 8:47:26 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,I don't know,5,2,1,5,2,3,1,3,4,4,5,3,3,3,4,3,Donald Trump,Rob Portman,
2016/10/24 9:06:24 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,LGBT+,Democratic Party,One does and the other one doesn't,1,1,1,2,1,1,1,2,3,2,1,1,3,1,3,5,Hillary Clinton,Ted Strickland,
2016/10/24 1:26:45 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,No,1,2,3,4,1,1,2,4,2,4,2,3,3,2,1,1,Hillary Clinton,Ted Strickland,
2016/10/24 7:28:07 PM EST,Columbus School for Girls,9,Female,Caucasian,No,Republican Party,Yes,2,5,4,2,1,3,4,5,2,5,4,4,3,3,4,2,Donald Trump,No opinion,
2016/10/24 10:00:26 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,No,3,2,1,2,1,2,3,4,1,4,1,2,3,1,3,2,Hillary Clinton,Rob Portman,
2016/10/24 10:00:46 PM EST,Columbus School for Girls,Parents,Female,Caucasian,Jewish,Democratic Party,No,3,1,2,4,2,4,1,2,3,1,1,2,1,1,4,1,Hillary Clinton,Ted Strickland,
2016/10/24 10:05:54 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,One does and the other one doesn't,4,1,4,1,3,4,1,5,3,5,5,1,1,3,5,1,Hillary Clinton,Rob Portman,
2016/10/24 10:11:49 PM EST,Columbus School for Girls,Parents,Prefer not to answer,Caucasian,No,No Party Affiliation,No,3,2,2,1,2,3,4,3,3,2,2,3,1,3,4,1,Hillary Clinton,Rob Portman,
2016/10/24 10:19:04 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,No,2,1,3,2,3,2,1,2,3,4,3,3,3,3,3,1,Hillary Clinton,No opinion,
2016/10/24 10:25:08 PM EST,Columbus School for Girls,Alumnae,Female,African-American;Caucasian,No,Democratic Party,Yes,2,1,3,3,1,1,1,2,3,1,1,2,3,1,1,3,Hillary Clinton,Ted Strickland,
2016/10/24 10:32:33 PM EST,Columbus School for Girls,Alumnae,Female,African-American,No,Democratic Party,Yes,1,1,3,1,1,2,1,1,3,3,1,1,3,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/24 10:33:54 PM EST,Bexley High School,Faculty,Male,Caucasian,No,Democratic Party,Yes,1,1,3,1,1,1,1,1,2,1,1,4,1,2,2,1,Hillary Clinton,Ted Strickland,
2016/10/24 11:37:00 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,No,3,2,1,2,1,2,3,4,1,4,1,2,3,1,3,2,Hillary Clinton,Rob Portman,
2016/10/25 12:15:23 AM EST,Columbus School for Girls,Parents,Female,Caucasian,,Republican Party,Yes,4,1,5,5,,,,,,,5,3,4,5,5,2,Donald Trump,Rob Portman,
2016/10/25 4:53:21 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Libertarian Party,No,5,5,4,5,2,3,5,3,4,5,5,3,3,5,3,3,Evan McMullin,No opinion,
2016/10/25 6:22:31 AM EST,Columbus School for Girls,Parents,Female,Caucasian;Middle Eastern,No,No Party Affiliation,Yes,5,4,2,2,4,5,5,2,5,5,3,3,5,4,2,,Evan McMullin,Rob Portman,The last question should be 2 separate questions. Equal compensation in the workplace is separate from women registering for draft.  I didn't answer. 
2016/10/25 6:59:01 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Republican Party,Yes,1,1,4,4,1,3,1,3,3,5,4,4,1,5,4,1,Kasich,Rob Portman,
2016/10/25 7:54:58 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,Yes,5,1,5,3,2,2,4,2,4,4,3,2,2,2,5,1,Hillary Clinton,Rob Portman,
2016/10/25 9:11:57 AM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,3,1,1,1,2,1,1,2,2,4,1,1,2,1,Hillary Clinton,No opinion,
2016/10/25 9:51:17 AM EST,Columbus School for Girls,Alumnae,Female,African-American,No,Democratic Party,Yes,2,1,3,2,1,2,1,3,2,4,1,2,3,3,4,1,Hillary Clinton,Rob Portman,
2016/10/25 11:49:38 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,Yes,5,3,5,3,3,5,4,5,5,5,5,4,3,5,3,3,Donald Trump,Rob Portman,
2016/10/25 1:40:30 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Democratic Party,Yes,1,1,1,1,1,1,2,1,1,1,1,2,1,2,3,1,Hillary Clinton,Ted Strickland,
2016/10/25 3:15:01 PM EST,Columbus School for Girls,Alumnae,Female,African-American,No,No Party Affiliation,No,2,2,1,1,2,2,3,1,1,2,1,1,3,1,3,2,No opinion,No opinion,"""When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir. This note was a promise that all men, yes, black men as well as white men, would be guaranteed the ""unalienable Rights"" of ""Life, Liberty and the pursuit of Happiness."" It is obvious today that America has defaulted on this promissory note, insofar as her citizens of color are concerned. Instead of honoring this sacred obligation, America has given the Negro people a bad check, a check which has come back marked ""insufficient funds.""""- MLK

"
2016/10/25 7:28:21 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,No Party Affiliation,One does and the other one doesn't,3,3,5,5,3,3,3,3,5,3,5,3,1,5,5,3,Donald Trump,Rob Portman,the number three was used to say either leave it as is or to leave it to the individual
2016/10/26 9:03:28 AM EST,Columbus School for Girls,Faculty,Male,Caucasian,No,No Party Affiliation,No,2,2,5,4,1,1,3,2,3,4,2,2,1,4,1,1,"Honestly, I am not sure who will get my vote.",Ted Strickland,
2016/10/26 9:10:32 AM EST,Columbus School for Girls,Faculty,Female,Caucasian,No,No Party Affiliation,No,1,2,3,3,2,2,1,3,2,4,3,3,2,2,3,1,Hillary Clinton,No opinion,
2016/10/26 10:00:20 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,Yes,4,2,4,4,4,3,2,3,4,4,3,4,3,4,3,1,No opinion,No opinion,
2016/10/26 10:02:22 AM EST,Columbus School for Girls,10,Female,Asian;Caucasian,No,Republican Party,Yes,2,1,3,4,3,3,1,4,4,4,1,2,4,3,5,1,No opinion,No opinion,
2016/10/26 10:04:02 AM EST,Columbus School for Girls,9,Female,Indian,No,Democratic Party,One does and the other one doesn't,1,1,3,4,2,3,1,2,3,4,1,3,4,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/26 10:04:07 AM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,I don't know,2,1,3,3,2,1,3,2,3,3,1,4,3,2,4,2,Hillary Clinton,No opinion,
2016/10/26 10:04:36 AM EST,Columbus School for Girls,10,Female,Caucasian,No,Republican Party,Yes,2,2,3,5,2,4,2,4,4,4,1,4,4,3,3,1,Donald Trump,Rob Portman,
2016/10/26 10:04:40 AM EST,Columbus School for Girls,11,Female,Caucasian,No,No Party Affiliation,I don't know,3,2,3,3,3,2,1,3,4,4,3,2,3,3,3,1,No opinion,No opinion,
2016/10/26 10:05:01 AM EST,Columbus School for Girls,10,Female,Caucasian;Hispanic,No,Democratic Party,One does and the other one doesn't,4,1,3,4,2,2,5,2,4,2,1,2,2,2,5,1,No opinion,Rob Portman,
2016/10/26 10:05:58 AM EST,Columbus School for Girls,9,Female,Caucasian,No,Republican Party,Yes,3,2,3,4,1,2,5,3,2,5,2,4,3,2,1,1,No opinion,No opinion,
2016/10/26 10:07:13 AM EST,Columbus School for Girls,9,Female,African-American,No,No Party Affiliation,Yes,3,2,,4,2,2,3,4,2,4,1,4,2,3,4,1,Hillary Clinton,No opinion,
2016/10/26 10:07:38 AM EST,Columbus School for Girls,9,Female,Asian;Pacific Islander,No,Libertarian Party,One does and the other one doesn't,1,3,3,3,2,2,1,2,3,4,1,2,4,3,3,1,No opinion,No opinion,"Feminist, LGBT Supporter, Pro Choice supporter, Black Lives Matter Movement supporter, Libertarian/Republican"
2016/10/26 10:07:57 AM EST,Columbus School for Girls,11,Female,African-American;Asian;Caucasian,No,Democratic Party,Yes,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Hillary Clinton,No opinion,
2016/10/26 10:08:46 AM EST,Columbus School for Girls,10,Female,Caucasian;Native American,No,Libertarian Party,One does and the other one doesn't,1,1,3,4,1,3,1,4,4,3,2,2,2,3,1,2,Gary Johnson,No opinion,
2016/10/26 10:09:55 AM EST,Columbus School for Girls,9,Female,Other,No,,Yes,3,2,2,,1,,,,,,,,,3,3,1,Hillary Clinton,No opinion,
2016/10/26 10:10:39 AM EST,Columbus School for Girls,9,Female,African-American,,Democratic Party,Yes,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,Hillary Clinton,No opinion,
2016/10/26 10:11:37 AM EST,Columbus School for Girls,11,Female,Asian;Caucasian,No,Democratic Party,Yes,1,1,2,3,2,2,1,2,2,2,1,2,3,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/26 10:16:35 AM EST,Columbus School for Girls,9,Female,Caucasian,No,No Party Affiliation,I don't know,2,1,5,3,3,2,3,3,3,1,1,4,3,2,2,1,Hillary Clinton,No opinion,
2016/10/26 11:31:21 AM EST,Columbus School for Girls,12,Female,African-American,No,Democratic Party,Yes,4,1,3,2,1,2,1,3,2,1,1,2,2,2,3,1,Hillary Clinton,No opinion,
2016/10/26 2:24:26 PM EST,Columbus School for Girls,12,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,2,5,1,2,1,1,3,,,,,,,,Hillary Clinton,Ted Strickland,
2016/10/26 7:02:56 PM EST,Columbus School for Girls,Parents,Female,Middle Eastern,No,No Party Affiliation,Yes,1,1,2,2,1,1,1,3,3,2,1,3,2,1,5,2,Hillary Clinton,Ted Strickland,
2016/10/27 7:14:27 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,2,1,2,3,2,2,1,2,1,4,2,3,2,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/28 7:53:19 AM EST,Columbus School for Girls,10,Female,Caucasian,No,No Party Affiliation,No,3,2,2,4,3,2,2,3,2,4,1,2,2,4,4,1,Hillary Clinton,Ted Strickland,
2016/10/28 4:13:57 PM EST,Columbus School for Girls,Parents,Male,Caucasian;Middle Eastern,No,No Party Affiliation,Yes,4,1,1,1,1,1,1,2,2,2,2,3,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/28 4:18:47 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,No,4,3,5,4,2,4,3,4,5,5,5,1,2,4,3,2,Donald Trump,Rob Portman,
2016/10/28 4:20:11 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,No,1,1,1,,1,1,1,3,1,3,1,1,3,2,1,2,Jill Stein,Rob Portman,
2016/10/28 4:23:23 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,5,2,5,5,2,4,3,4,5,4,5,4,2,3,4,2,Donald Trump,Rob Portman,
2016/10/28 4:42:42 PM EST,Columbus School for Girls,Parents,Female,Caucasian,,Republican Party,Yes,5,3,5,3,3,3,5,3,3,5,4,4,3,4,1,,likely Trump to block Hilary,Rob Portman,I could not answer the men and women question because it was biased. I support equal pay- a job is a job- and pay should be based on ability not gender or color or any other measure. I do not consider equality part of the draft issue. With mandatory draft there is likely to be a strong push for women to be required serving in combat roles. Professional sports teams seem to easily understand that men and women are not physically equal (in general) and wouldn't mess around with co-ed teams; yet we as a country will potentially risk soldiers lives by allowing gender politics to interfere with sound decisions about armed combat service. 
2016/10/28 4:42:59 PM EST,Columbus School for Girls,Parents,Male,Caucasian,,Republican Party,Yes,5,2,4,5,1,4,2,4,5,4,4,4,3,4,3,1,Donald Trump,Ted Strickland,
2016/10/28 4:53:48 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,1,1,2,2,1,1,1,2,2,3,1,3,2,1,3,1,Hillary Clinton,Ted Strickland,
2016/10/28 8:21:40 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,No,1,1,2,1,1,1,1,1,2,1,3,1,3,3,1,1,Hillary Clinton,Ted Strickland,
2016/10/28 9:22:52 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,One does and the other one doesn't,5,5,5,3,3,3,5,3,5,5,5,3,5,5,3,1,Donald Trump,Rob Portman,
2016/10/28 11:00:48 PM EST,Columbus School for Girls,Parents,Female,African-American,No,Democratic Party,Yes,4,1,4,3,1,3,1,2,3,5,2,2,2,3,2,1,Hillary Clinton,Ted Strickland,
2016/10/29 2:50:34 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,I don't know,5,3,5,4,3,4,5,4,4,3,3,3,3,2,5,4,,Rob Portman,
2016/10/29 4:06:37 AM EST,Columbus School for Girls,Parents,Female,African-American,No,Democratic Party,Yes,1,1,3,2,1,2,1,1,1,1,1,3,2,3,4,1,Hillary Clinton,Ted Strickland,
2016/10/29 10:35:25 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,No,1,2,4,5,2,1,1,4,5,5,5,3,3,4,5,1,No opinion,Rob Portman,
2016/10/29 3:25:50 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,Yes,5,3,,5,4,4,5,5,5,5,5,4,5,4,2,4,Donald Trump,Rob Portman,
2016/10/29 5:58:11 PM EST,Columbus Academy,12,Female,Caucasian,No,Democratic Party,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Hillary Clinton,Ted Strickland,
2016/10/29 6:31:01 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,4,1,,4,1,2,1,1,4,1,2,2,2,2,4,3,Kasich,Rob Portman,
2016/10/30 1:42:52 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Democratic Party,One does and the other one doesn't,1,2,3,2,3,4,1,2,3,2,2,3,2,3,4,2,Hillary Clinton,Ted Strickland,
2016/10/30 2:02:23 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,No,2,1,3,2,2,3,1,3,3,5,4,1,1,1,4,1,Hillary Clinton,Rob Portman,
2016/10/30 9:22:35 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,No,1,1,2,4,2,2,1,3,1,3,2,3,2,1,5,1,Hillary Clinton,Ted Strickland,
2016/10/30 10:41:58 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,No,3,2,4,4,2,4,2,4,4,4,3,4,3,3,4,1,Donald Trump,No opinion,
2016/10/31 6:30:33 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,Yes,2,1,3,5,2,1,4,4,3,5,5,3,4,2,5,1,No opinion,Rob Portman,
2016/10/31 10:04:20 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,No Party Affiliation,I don't know,5,3,5,4,2,3,5,3,4,5,5,3,3,4,5,1,Donald Trump,Rob Portman,
2016/10/31 12:04:49 PM EST,Columbus School for Girls,Parents,Female,Caucasian,,Republican Party,No,2,1,3,2,3,2,1,3,3,4,3,3,3,4,5,2,Hillary Clinton,Rob Portman,
2016/10/31 6:27:41 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,No Party Affiliation,No,4,2,3,3,3,2,5,4,1,5,2,4,3,3,1,4,Gary Johnson,Rob Portman,
2016/10/31 9:47:09 PM EST,Columbus School for Girls,Parents,Male,Asian,No,Green Party,No,2,1,1,1,1,1,1,3,3,1,1,2,2,1,1,2,,Ted Strickland,USA!
2016/11/01 6:42:11 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,5,5,5,5,1,5,5,5,5,5,5,5,3,3,3,1,Donald Trump,Rob Portman,
2016/11/02 1:48:25 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,Yes,5,4,5,4,3,5,5,5,5,5,5,4,3,5,3,3,Donald Trump,Rob Portman,
2016/11/02 6:00:57 PM EST,Columbus School for Girls,11,Female,Middle Eastern,No,Democratic Party,Yes,1,1,1,4,1,1,5,1,2,2,1,5,1,1,2,1,Jill Stein,Ted Strickland,great poll sorry im late on anwering questions!!
2016/11/04 2:39:49 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,No,1,1,2,3,2,2,5,2,3,4,2,2,3,3,3,2,Hillary Clinton,Ted Strickland,
2016/11/04 4:11:15 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,1,1,2,2,1,1,1,1,1,2,1,3,2,2,1,1,Hillary Clinton,Ted Strickland,
2016/11/04 4:43:56 PM EST,Columbus School for Girls,Parents,Female,,,,,2,2,2,1,3,1,1,3,3,3,3,1,,1,1,,Hillary Clinton,Ted Strickland,
2016/11/04 4:45:05 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,No Party Affiliation,No,3,3,2,4,3,4,2,3,3,4,5,4,3,4,3,3,No opinion,Rob Portman,
2016/11/04 5:42:00 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,No Party Affiliation,No,2,1,2,5,2,1,1,2,2,5,3,1,2,1,4,2,Hillary Clinton,Ted Strickland,
2016/11/04 5:58:42 PM EST,Columbus School for Girls,Parents,Female,African-American,No,Democratic Party,Yes,2,2,2,3,1,2,1,3,2,1,1,3,3,4,2,1,Hillary Clinton,Ted Strickland,
2016/11/04 6:00:54 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,3,1,3,3,3,1,1,2,1,1,3,3,1,1,5,1,Hillary Clinton,Ted Strickland,
2016/11/04 6:31:16 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,4,1,4,4,,3,4,3,5,4,3,3,2,5,4,2,No opinion,Rob Portman,
2016/11/04 7:25:55 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,2,1,3,3,3,4,4,3,4,5,5,5,3,2,5,1,Donald Trump,Rob Portman,"I do not understand why equal compensation in the workplace and equal citizenship, such as the draft must be linked.  "
2016/11/04 7:27:35 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,1,1,3,3,1,1,1,1,2,3,1,3,3,1,3,2,Hillary Clinton,No opinion,
2016/11/04 10:04:56 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,No Party Affiliation,Yes,1,1,3,3,2,4,2,2,1,4,3,2,1,3,4,2,Hillary Clinton,Rob Portman,
2016/11/05 8:23:00 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Democratic Party,I don't know,1,1,3,1,2,1,1,1,1,3,1,2,1,1,2,1,Hillary Clinton,Ted Strickland,
2016/11/05 9:58:04 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,1,1,1,3,1,1,1,2,2,1,2,2,1,1,4,1,Hillary Clinton,Ted Strickland,
2016/11/05 2:37:26 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,Yes,5,1,5,5,3,4,5,5,5,5,4,3,4,3,2,1,Donald Trump,Rob Portman,
2016/11/05 5:35:56 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,2,2,4,4,2,4,1,4,2,,3,4,3,4,5,1,John Kasich,Rob Portman,
2016/11/06 12:03:20 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,1,1,3,1,3,1,1,1,3,1,2,3,3,1,2,1,Hillary Clinton,Ted Strickland,
2016/11/06 6:10:40 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,One does and the other one doesn't,4,1,3,4,2,1,1,2,2,2,1,3,2,2,3,2,Hillary Clinton,Ted Strickland,
2016/11/06 12:59:44 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,One does and the other one doesn't,1,1,3,5,1,3,5,1,2,4,1,3,2,3,2,2,Hillary Clinton,Rob Portman,
2016/11/06 2:30:45 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,Yes,1,1,4,1,1,1,1,1,2,1,1,2,1,4,3,1,Hillary Clinton,Ted Strickland,
2016/11/06 3:03:05 PM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Democratic Party,No,1,3,5,1,3,5,1,3,1,5,5,1,5,3,1,1,Hillary Clinton,Rob Portman,
2016/11/06 4:38:53 PM EST,Columbus School for Girls,Parents,Female,African-American,No,Democratic Party,Yes,4,1,2,4,1,1,1,3,3,4,1,2,4,1,4,1,Hillary Clinton,Ted Strickland,
2016/11/06 6:23:42 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Democratic Party,No,1,1,1,2,2,2,1,2,2,3,2,1,4,1,1,2,Hillary Clinton,Ted Strickland,
2016/11/07 8:41:31 AM EST,Columbus School for Girls,Parents,Female,Caucasian,Jewish,Republican Party,Yes,2,3,5,2,2,4,3,4,4,5,3,4,2,4,5,4,Evan McMullin,Rob Portman,
2016/11/07 10:07:26 AM EST,Columbus School for Girls,Parents,Male,Caucasian,No,Republican Party,I don't know,5,2,3,3,3,3,5,3,3,4,3,4,2,4,1,4,Donald Trump,Rob Portman,
2016/11/07 10:21:42 AM EST,Columbus School for Girls,Parents,Female,Asian;Caucasian;Indian,No,No Party Affiliation,Yes,5,1,1,4,1,1,5,1,4,1,1,4,3,2,5,3,Hillary Clinton,Ted Strickland,"I agree with equal financial compensation for men & women at any work place, including the military. But given the prevailing military culture where women go through physical and psychological abuse by their male counterparts,  and also taking into consideration the fact that although both male and female prisoners of war are at risk of torture and rape by enemies, misogynistic societies may be more willing to abuse woman prisoners. Therefore I strongly disagree with equal obligation of citizenship such as signing up for the military draft.

"
2016/11/07 10:40:37 AM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,2,2,4,1,3,2,5,3,4,4,1,5,3,3,4,1,No opinion,Rob Portman,
2016/11/07 8:21:01 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,No,3,1,3,3,2,4,1,4,4,4,3,3,2,4,5,2,Hillary Clinton,Rob Portman,The way that the marijuana question is worded is inherently bias toward allowing  recreational marijuana use. 
2016/11/07 10:58:23 PM EST,Columbus School for Girls,Parents,Female,Caucasian,No,Republican Party,Yes,5,1,3,5,2,2,2,5,5,5,4,3,4,,2,3,Donald Trump,No opinion,
2016/11/08 4:09:29 AM EST,Bishop Ready,9,Female,Caucasian,No,Republican Party,Yes,3,3,4,4,1,2,5,3,2,4,4,4,3,4,2,1,Donald Trump,Rob Portman,
2016/11/08 9:18:27 AM EST,Columbus School for Girls,Parents,Female,Asian,,No Party Affiliation,Yes,3,1,1,4,2,2,1,3,3,4,2,2,4,3,2,1,Hillary Clinton,No opinion,
2016/11/08 4:00:39 PM EST,Columbus School for Girls,Alumnae,Female,Caucasian,No,Democratic Party,Yes,1,1,1,2,1,1,1,1,3,2,1,1,2,1,1,1,Hillary Clinton,Ted Strickland,
